Loop Gain dB20 X,Loop Gain dB20 Y,Loop Gain Phase X,Loop Gain Phase Y
0.1,91.40744956198944,0.1,179.9941572479427
0.1011579454259899,91.40744955950311,0.1011579454259899,179.994089592064
0.1023292992280754,91.40744955986113,0.1023292992280754,179.9940211527651
0.1035142166679344,91.40744955875965,0.1035142166679344,179.9939519209775
0.10471285480509,91.40744955763252,0.10471285480509,179.9938818875237
0.1059253725177289,91.40744955647912,0.1059253725177289,179.9938110431207
0.1071519305237607,91.40744955529888,0.1071519305237607,179.9937393783781
0.1083926914021204,91.40744955409113,0.1083926914021204,179.993666883797
0.1096478196143186,91.40744955285525,0.1096478196143186,179.9935935497682
0.1109174815262402,91.40744955159059,0.1109174815262402,179.9935193665714
0.1122018454301964,91.40744955029646,0.1122018454301964,179.9934443243737
0.1135010815672316,91.40744954897218,0.1135010815672316,179.9933684132283
0.1148153621496884,91.40744954761708,0.1148153621496884,179.9932916230733
0.1161448613840344,91.4074495462304,0.1161448613840344,179.9932139437303
0.1174897554939531,91.40744954481143,0.1174897554939531,179.9931353649028
0.118850222743702,91.40744954335941,0.118850222743702,179.9930558761755
0.1202264434617414,91.40744954072599,0.1202264434617414,179.992975467013
0.1216186000646369,91.40744953920553,0.1216186000646369,179.9928941267554
0.1230268770812383,91.40744953793654,0.1230268770812383,179.9928118446219
0.1244514611771387,91.40744953548376,0.1244514611771387,179.992728609707
0.1258925411794169,91.40744953385456,0.1258925411794169,179.9926444109767
0.1273503081016663,91.40744953304805,0.1273503081016663,179.9925592372702
0.1288249551693136,91.40744953134205,0.1288249551693136,179.9924730772995
0.1303166778452301,91.40744952902256,0.1303166778452301,179.9923859196439
0.1318256738556409,91.40744952723617,0.1318256738556409,179.9922977527497
0.1333521432163326,91.40744952540817,0.1333521432163326,179.9922085649311
0.1348962882591656,91.40744952353759,0.1348962882591656,179.9921183443662
0.1364583136588927,91.40744952162345,0.1364583136588927,179.9920270790965
0.1380384264602887,91.40744951966471,0.1380384264602887,179.9919347570248
0.139636836105594,91.40744951766037,0.139636836105594,179.9918413659139
0.1412537544622757,91.40744951503552,0.1412537544622757,179.9917468933855
0.1428893958511106,91.4074495132236,0.1428893958511106,179.991651326916
0.144543977074593,91.40744951136277,0.144543977074593,179.9915546538391
0.1462177174456721,91.40744950916505,0.1462177174456721,179.9914568613409
0.1479108388168211,91.40744950691611,0.1479108388168211,179.9913579364591
0.1496235656094437,91.40744950404101,0.1496235656094437,179.9912578660817
0.1513561248436212,91.40744950197299,0.1513561248436212,179.9911566369432
0.1531087461682034,91.40744949956321,0.1531087461682034,179.9910542356268
0.1548816618912485,91.40744949681043,0.1548816618912485,179.9909506485595
0.1566751070108153,91.40744949457398,0.1566751070108153,179.9908458620098
0.1584893192461117,91.40744949199185,0.1584893192461117,179.9907398620895
0.1603245390690045,91.40744948877582,0.1603245390690045,179.9906326347487
0.1621810097358934,91.40744948607201,0.1621810097358934,179.9905241657732
0.1640589773199544,91.40744948330523,0.1640589773199544,179.9904144407862
0.1659586907437565,91.40744948047399,0.1659586907437565,179.9903034452439
0.1678804018122565,91.4074494775768,0.1678804018122565,179.9901911644338
0.1698243652461749,91.40744947461214,0.1698243652461749,179.9900775834732
0.1717908387157593,91.40744947186531,0.1717908387157593,179.9899626873069
0.1737800828749381,91.40744946876092,0.1737800828749381,179.9898464607061
0.1757923613958698,91.40744946701865,0.1757923613958698,179.9897288882631
0.1778279410038928,91.40744946376796,0.1778279410038928,179.9896099543971
0.1798870915128793,91.40744946015467,0.1798870915128793,179.9894896433423
0.1819700858609989,91.40744945646388,0.1819700858609989,179.9893679391513
0.1840772001468962,91.4074494529807,0.1840772001468962,179.9892448256919
0.1862087136662873,91.40744944941639,0.1862087136662873,179.9891202866459
0.1883649089489807,91.40744944605594,0.1883649089489807,179.9889943055055
0.1905460717963254,91.40744944232365,0.1905460717963254,179.9888668655727
0.1927524913190942,91.40744943821753,0.1927524913190942,179.9887379499555
0.1949844599758052,91.40744943459623,0.1949844599758052,179.9886075415651
0.1972422736114861,91.407449430597,0.1972422736114861,179.9884756231173
0.1995262314968887,91.40744942593085,0.1995262314968887,179.9883421771268
0.2018366363681569,91.40744942174315,0.2018366363681569,179.9882071859038
0.2041737944669537,91.40744941745791,0.2041737944669537,179.9880706315563
0.2065380155810538,91.40744941278595,0.2065380155810538,179.9879324959845
0.2089296130854048,91.40744940858562,0.2089296130854048,179.9877927608776
0.2113489039836655,91.40744940456769,0.2113489039836655,179.987651407714
0.2137962089502241,91.40744939986899,0.2137962089502241,179.987508417759
0.2162718523727029,91.40744939506087,0.2162718523727029,179.9873637720585
0.2187761623949562,91.40744939014075,0.2187761623949562,179.9872174514398
0.2213094709605647,91.40744938453224,0.2213094709605647,179.9870694365093
0.223872113856835,91.40744937966714,0.223872113856835,179.9869197076455
0.226464430759307,91.40744937439513,0.226464430759307,179.9867682450038
0.2290867652767784,91.40744936900033,0.2290867652767784,179.9866150285077
0.2317394649968489,91.40744936290608,0.2317394649968489,179.9864600378492
0.2344228815319933,91.40744935725704,0.2344228815319933,179.9863032524826
0.2371373705661667,91.40744935147639,0.2371373705661667,179.9861446516274
0.2398832919019502,91.4074493452742,0.2398832919019502,179.9859842142615
0.2426610095082428,91.40744933922115,0.2426610095082428,179.9858219191182
0.2454708915685043,91.40744933274019,0.2454708915685043,179.9856577446864
0.2483133105295583,91.40744932640183,0.2483133105295583,179.9854916692041
0.2511886431509593,91.40744931962898,0.2511886431509593,179.9853236706591
0.2540972705549318,91.4074493129919,0.2540972705549318,179.9851537267823
0.2570395782768877,91.40744930591337,0.2570395782768877,179.984981815049
0.2600159563165286,91.4074492992504,0.2600159563165286,179.9848079126709
0.2630267991895396,91.4074492929993,0.2630267991895396,179.9846319965974
0.2660725059798824,91.40744928572192,0.2660725059798824,179.9844540435136
0.269153480392693,91.40744927798814,0.269153480392693,179.9842740298311
0.2722701308077927,91.407449269794,0.2722701308077927,179.9840919316892
0.2754228703338182,91.40744926199613,0.2754228703338182,179.9839077249494
0.2786121168629786,91.40744925372972,0.2786121168629786,179.9837213851971
0.281838293126447,91.40744924556437,0.281838293126447,179.9835328877319
0.2851018267503926,91.40744923720879,0.2851018267503926,179.9833422075692
0.2884031503126623,91.40744923009305,0.2884031503126623,179.983149319432
0.2917427014001184,91.40744922105681,0.2917427014001184,179.9829541977591
0.2951209226666404,91.40744921210364,0.2951209226666404,179.9827568166835
0.2985382618917978,91.40744920294196,0.2985382618917978,179.9825571500434
0.3019951720402035,91.40744919299308,0.3019951720402035,179.982355171374
0.3054921113215532,91.40744918368651,0.3054921113215532,179.9821508539005
0.309029543251361,91.40744917358268,0.309029543251361,179.9819441705439
0.3126079367123975,91.40744916353708,0.3126079367123975,179.9817350939067
0.31622776601684,91.40744915325749,0.31622776601684,179.9815235962766
0.3198895109691419,91.40744914245158,0.3198895109691419,179.9813096496205
0.3235936569296304,91.40744913197439,0.3235936569296304,179.9810932255781
0.3273406948788404,91.40744912095961,0.3273406948788404,179.9808742954647
0.3311311214825934,91.40744910997515,0.3311311214825934,179.9806528302599
0.33496543915783,91.40744909815439,0.33496543915783,179.9804288006108
0.3388441561392049,91.40744908606494,0.3388441561392049,179.9802021768213
0.3427677865464528,91.40744907484815,0.3427677865464528,179.9799729288499
0.3467368504525341,91.40744906220247,0.3467368504525341,179.9797410263155
0.3507518739525705,91.40744905012959,0.3507518739525705,179.9795064384749
0.354813389233578,91.40744903690145,0.354813389233578,179.9792691342378
0.3589219346450078,91.40744902308499,0.3589219346450078,179.9790290821487
0.363078054770104,91.40744900953386,0.363078054770104,179.9787862503867
0.3672823004980874,91.40744899566707,0.3672823004980874,179.9785406067662
0.3715352290971753,91.40744898176419,0.3715352290971753,179.9782921187268
0.375837404288447,91.40744896695699,0.375837404288447,179.9780407533337
0.3801893963205641,91.40744895181157,0.3801893963205641,179.9777864772674
0.3845917820453566,91.40744893660694,0.3845917820453566,179.9775292568231
0.3890451449942837,91.40744892104814,0.3890451449942837,179.9772690579075
0.3935500754557806,91.40744890656138,0.3935500754557806,179.9770058460276
0.3981071705535005,91.40744888940867,0.3981071705535005,179.9767395863048
0.4027170343254624,91.40744887216336,0.4027170343254624,179.97647024344
0.4073802778041161,91.40744885539036,0.4073802778041161,179.9761977817305
0.4120975190973337,91.40744883793312,0.4120975190973337,179.9759221650651
0.4168693834703389,91.407448820643,0.4168693834703389,179.9756433569086
0.4216965034285858,91.40744880207613,0.4216965034285858,179.9753613203093
0.4265795188015963,91.40744878308347,0.4265795188015963,179.9750760178814
0.431519076827769,91.4074487636551,0.431519076827769,179.9747874118084
0.4365158322401698,91.40744874492839,0.4365158322401698,179.9744954638324
0.4415704473533164,91.4074487248848,0.4415704473533164,179.9742001352622
0.446683592150967,91.40744870408741,0.446683592150967,179.9739013869505
0.4518559443749264,91.40744868367298,0.4518559443749264,179.9735991792952
0.4570881896148791,91.40744866355858,0.4570881896148791,179.9732934722393
0.4623810213992645,91.40744864129431,0.4623810213992645,179.9729842252691
0.4677351412872024,91.40744861909191,0.4677351412872024,179.9726713973876
0.4731512589614848,91.407448595505,0.4731512589614848,179.9723549471343
0.4786300923226428,91.40744857310337,0.4786300923226428,179.972034832556
0.4841723675841038,91.40744854871876,0.4841723675841038,179.971711011232
0.4897788193684507,91.40744852463354,0.4897788193684507,179.9713834402327
0.4954501908047949,91.40744849853947,0.4954501908047949,179.9710520761467
0.501187233627277,91.40744847243141,0.501187233627277,179.9707168750456
0.5069907082747092,91.40744844514815,0.5069907082747092,179.9703777925026
0.5128613839913697,91.40744841925761,0.5128613839913697,179.970034783564
0.5188000389289661,91.40744839101598,0.5188000389289661,179.9696878027772
0.5248074602497776,91.4074483635643,0.5248074602497776,179.9693368041396
0.5308844442309935,91.40744833430558,0.5308844442309935,179.9689817411357
