code,DNL_LSB,INL_LSB
0.000000000000000000e+00,-7.494904796655610379e-02,6.804618796360997757e-02
1.000000000000000000e+00,7.753759351476041672e-03,-6.902860002946559909e-03
2.000000000000000000e+00,-7.444628621598681217e-02,8.508993485290356146e-04
3.000000000000000000e+00,1.138034382249295540e-01,-7.359538686745820124e-02
4.000000000000000000e+00,-7.391562424722541991e-02,4.020805135747095027e-02
5.000000000000000000e+00,8.879616873719742287e-03,-3.370757288975485128e-02
6.000000000000000000e+00,-7.341180627243215628e-02,-2.482795601603563634e-02
7.000000000000000000e+00,1.978917980407222110e-01,-9.823976228846818814e-02
8.000000000000000000e+00,-7.285812647414280363e-02,9.965203575225352328e-02
9.000000000000000000e+00,1.003177940716737382e-02,2.679390927811026515e-02
1.000000000000000000e+01,-7.235301986717068701e-02,3.682568868527714284e-02
1.100000000000000000e+01,1.163223312256096431e-01,-3.552733118189392580e-02
1.200000000000000000e+01,-7.181986071608725819e-02,8.079500004371523159e-02
1.300000000000000000e+01,1.116302472666430567e-02,8.975139327627506755e-03
1.400000000000000000e+01,-7.131354667062372865e-02,2.013816405429140130e-02
1.500000000000000000e+01,1.804842998566091872e-01,-5.117538261633270552e-02
1.600000000000000000e+01,-7.076190828344652850e-02,1.293089172402760723e-01
1.700000000000000000e+01,1.231544256038130669e-02,5.854700895682914130e-02
1.800000000000000000e+01,-7.025448804615552767e-02,7.086245151720996227e-02
1.900000000000000000e+01,1.188471449752146469e-01,6.079634710540009201e-04
2.000000000000000000e+01,-6.971895662700511309e-02,1.194551084462682489e-01
2.100000000000000000e+01,1.345135317490053772e-02,4.973615181927642376e-02
2.200000000000000000e+01,-6.921072320493326657e-02,6.318750499417645494e-02
2.300000000000000000e+01,2.033237021308731407e-01,-6.023218210757209749e-03
2.400000000000000000e+01,-6.865258492804227064e-02,1.973004839201154825e-01
2.500000000000000000e+01,1.461344845846146434e-02,1.286478989920727956e-01
2.600000000000000000e+01,-6.814341521466649176e-02,1.432613474505338991e-01
2.700000000000000000e+01,1.213867685658611695e-01,7.511793223586703261e-02
2.800000000000000000e+01,-6.760614997973612983e-02,1.965047008017278829e-01
2.900000000000000000e+01,1.575255578531109535e-02,1.288985508219913090e-01
3.000000000000000000e+01,-6.709670284097057902e-02,1.446511066073018492e-01
3.100000000000000000e+01,-2.504702696587354227e-01,7.755440376633081223e-02
3.200000000000000000e+01,-6.665201775997475764e-02,-1.729158658924050129e-01
3.300000000000000000e+01,1.679199495326022529e-02,-2.395678836523801591e-01
3.400000000000000000e+01,-6.614213626121667744e-02,-2.227758886991204612e-01
3.500000000000000000e+01,1.237937664292720896e-01,-2.889180249603376383e-01
3.600000000000000000e+01,-6.560447276351488721e-02,-1.651242585310659927e-01
3.700000000000000000e+01,1.793224477719701504e-02,-2.307287312945813518e-01
3.800000000000000000e+01,-6.509496479308318762e-02,-2.127964865173848086e-01
3.900000000000000000e+01,2.086430319770040676e-01,-2.778914513104684403e-01
4.000000000000000000e+01,-6.453609272677862663e-02,-6.924841933346470579e-02
4.100000000000000000e+01,1.909513498793735664e-02,-1.337845120602300097e-01
4.200000000000000000e+01,-6.402749630162962724e-02,-1.146893770722931805e-01
4.300000000000000000e+01,1.263351957782770096e-01,-1.787168733739232240e-01
4.400000000000000000e+01,-6.349221370876811932e-02,-5.238167759564672094e-02
4.500000000000000000e+01,2.023052231116340138e-02,-1.158738913044152358e-01
4.600000000000000000e+01,-6.298563379166011167e-02,-9.564336899325222296e-02
4.700000000000000000e+01,1.910946252454692740e-01,-1.586290027849127648e-01
4.800000000000000000e+01,-6.243597638045805809e-02,3.246562246055609280e-02
4.900000000000000000e+01,2.137843032702280155e-02,-2.997035391990237121e-02
5.000000000000000000e+01,-6.193350329619806693e-02,-8.591923592879963448e-03
5.100000000000000000e+01,1.288477433133623506e-01,-7.052542688907841029e-02
5.200000000000000000e+01,-6.140694389957923605e-02,5.832231642428344076e-02
5.300000000000000000e+01,2.249496573538345423e-02,-3.084627475296267997e-03
5.400000000000000000e+01,-6.091158608668101326e-02,1.941033826008678465e-02
5.500000000000000000e+01,2.140360090786241898e-01,-4.150124782659461026e-02
5.600000000000000000e+01,-6.037409127054360614e-02,1.725347612520292395e-01
5.700000000000000000e+01,2.361274282444814077e-02,1.121606699814851893e-01
5.800000000000000000e+01,-5.989187542802498765e-02,1.357734128059328860e-01
5.900000000000000000e+01,1.312858123105027364e-01,7.588153737790749587e-02
6.000000000000000000e+01,-5.939430835272963005e-02,2.071673496884098853e-01
6.100000000000000000e+01,2.466691375889928928e-02,1.477730413356798667e-01
6.200000000000000000e+01,-5.893680347614971282e-02,1.724399550945786286e-01
