0.000000000000000000e+00,1.242462375886194646e-02,1.242462375886194646e-02
1.000000000000000000e+00,1.071586425639590306e-02,2.314048801525785126e-02
2.000000000000000000e+00,1.295128570745963242e-02,3.609177372271748369e-02
3.000000000000000000e+00,3.350777100336008694e-03,3.944255082305349325e-02
4.000000000000000000e+00,1.347663453212497725e-02,5.291918535517847050e-02
5.000000000000000000e+00,1.176657234942195610e-02,6.468575770460043006e-02
6.000000000000000000e+00,1.400456219095522550e-02,7.869031989555565210e-02
7.000000000000000000e+00,-2.717870306235374914e-02,5.151161683320190643e-02
8.000000000000000000e+00,1.452331671839768648e-02,6.603493355159958944e-02
9.000000000000000000e+00,1.281106888177954532e-02,7.884600243337913650e-02
1.000000000000000000e+01,1.505189438711716787e-02,9.389789682049630437e-02
1.100000000000000000e+01,5.432489273624469851e-03,9.933038609412077335e-02
1.200000000000000000e+01,1.557980891473310231e-02,1.149101950088538826e-01
1.300000000000000000e+01,1.386607695411617470e-02,1.287762719629700625e-01
1.400000000000000000e+01,1.610923339741186094e-02,1.448855053603819165e-01
1.500000000000000000e+01,-1.515113625271708175e-01,-6.625857166788901020e-03
1.600000000000000000e+01,1.659767611494175274e-02,9.971818948152851719e-03
1.700000000000000000e+01,1.488290744268142875e-02,2.485472639083428220e-02
1.800000000000000000e+01,1.712795592496916056e-02,4.198268231580344623e-02
1.900000000000000000e+01,7.489826279424347151e-03,4.947250859522779598e-02
2.000000000000000000e+01,1.765869673830913061e-02,6.713120533353691965e-02
2.100000000000000000e+01,1.594012618080134849e-02,8.307133151433826468e-02
2.200000000000000000e+01,1.818919951873847543e-02,1.012605310330767366e-01
2.300000000000000000e+01,-2.315965654682249769e-02,7.810087448625424589e-02
2.400000000000000000e+01,1.871087251579810207e-02,9.681174700205234795e-02
2.500000000000000000e+01,1.699314327323088458e-02,1.138048902752832325e-01
2.600000000000000000e+01,1.924248848822100386e-02,1.330473787635042260e-01
2.700000000000000000e+01,9.584763241515395840e-03,1.426321420050196132e-01
2.800000000000000000e+01,1.977303270167964783e-02,1.624051747066992679e-01
2.900000000000000000e+01,1.805336389422538060e-02,1.804585386009246450e-01
3.000000000000000000e+01,2.030498954579884954e-02,2.007635281467234911e-01
3.100000000000000000e+01,-6.537739290547773807e-01,-4.530104009080538896e-01
3.200000000000000000e+01,2.066614475120191405e-02,-4.323442561568519582e-01
3.300000000000000000e+01,1.894525294639660268e-02,-4.133990032104553625e-01
3.400000000000000000e+01,2.119812379700734828e-02,-3.922008794134480003e-01
3.500000000000000000e+01,1.152253874329628447e-02,-3.806783406701517158e-01
3.600000000000000000e+01,2.172801778702845160e-02,-3.589503228831232851e-01
3.700000000000000000e+01,2.000438731219555608e-02,-3.389459355709277255e-01
3.800000000000000000e+01,2.225975330828739232e-02,-3.166861822626403367e-01
3.900000000000000000e+01,-1.925090917316582551e-02,-3.359370914358061899e-01
4.000000000000000000e+01,2.278025745144757891e-02,-3.131568339843586180e-01
4.100000000000000000e+01,2.105322295093068827e-02,-2.921036110334279123e-01
4.200000000000000000e+01,2.330964632007881052e-02,-2.687939647133490983e-01
4.300000000000000000e+01,1.361168330923039071e-02,-2.551822814041186938e-01
4.400000000000000000e+01,2.383606961014121325e-02,-2.313462117939774909e-01
4.500000000000000000e+01,2.210578558629171589e-02,-2.092404262076857646e-01
4.600000000000000000e+01,2.436242166273400178e-02,-1.848780045449517628e-01
4.700000000000000000e+01,-1.445860974684474720e-01,-3.294641020133992626e-01
4.800000000000000000e+01,2.484557621984040052e-02,-3.046185257935588586e-01
4.900000000000000000e+01,2.311064418201066659e-02,-2.815078816115482163e-01
5.000000000000000000e+01,2.536687882051768053e-02,-2.561410027910305254e-01
5.100000000000000000e+01,1.564424479648643743e-02,-2.404967579945440914e-01
5.200000000000000000e+01,2.588252135653739891e-02,-2.146142366380066890e-01
5.300000000000000000e+01,2.414168670811195003e-02,-1.904725499298947355e-01
5.400000000000000000e+01,2.639490482346533787e-02,-1.640776451064293873e-01
5.500000000000000000e+01,-1.529006538964431360e-02,-1.793677104960736957e-01
5.600000000000000000e+01,2.689129550816057174e-02,-1.524764149879131170e-01
5.700000000000000000e+01,2.514143547241887502e-02,-1.273349795154942454e-01
5.800000000000000000e+01,2.738814104310179770e-02,-9.994683847239244079e-02
5.900000000000000000e+01,1.763169243996383362e-02,-8.231514603242860717e-02
6.000000000000000000e+01,2.787096865590499295e-02,-5.444417737652361422e-02
6.100000000000000000e+01,2.610580228157238780e-02,-2.833837509495122642e-02
6.200000000000000000e+01,2.833837509494834678e-02,-2.879640970121499777e-15
