/out X,/out Y
0,2.033031663799767
2.651929418395504e-15,2.033031663803774
5.303858836791008e-15,2.033031663807933
1.060771767358202e-14,2.033031663816089
1.933428642736726e-14,2.033031663829483
3.124811564961048e-14,2.033031663847717
5.052355357561875e-14,2.033031663877099
8.15100332747389e-14,2.033031663923089
1.137196947384101e-13,2.033031663971104
1.533486789488073e-13,2.033031664028165
1.99424169370604e-13,2.033031664093298
2.456090024431596e-13,2.033031664159065
3.09966245549551e-13,2.03303166424821
3.877573180742341e-13,2.033031664353263
4.660825112737638e-13,2.033031664457269
5.736055855409664e-13,2.033031664595859
6.736759148385588e-13,2.03303166472163
7.188195598420677e-13,2.033031664778575
7.663324785380635e-13,2.033031664841069
8.022077100039757e-13,2.033031664876092
8.293944783441538e-13,2.033031664915229
8.515610519660216e-13,2.033031664946743
8.697292214120612e-13,2.033031664970868
8.798441137074205e-13,2.033031664982516
8.885800179760201e-13,2.033031664990796
8.944874525029115e-13,2.033031664995251
8.954693311513246e-13,2.033031664995898
8.959305249269988e-13,2.033031664996193
8.968529124783471e-13,2.033031664996766
8.986976875810438e-13,2.033031664997846
9.014815140731384e-13,2.033031664999318
9.047013720499788e-13,2.033031665000799
9.049962012414094e-13,2.033031665000923
9.055858596242705e-13,2.033031665001169
9.067651763899926e-13,2.033031665001637
9.09123809921437e-13,2.033031665002496
9.12117233630254e-13,2.033031665003456
9.133552636392769e-13,2.033031665003815
9.134877741623384e-13,2.033031665003851
9.137527952084614e-13,2.033031665003924
9.142828373007075e-13,2.033031665004068
9.153429214851996e-13,2.033031665004347
9.174630898541839e-13,2.033031665004869
9.217034265921524e-13,2.033031665005786
9.301841000680894e-13,2.033031665007264
9.421122417164304e-13,2.033031665008904
9.528747489269586e-13,2.033031665010191
9.60544622267082e-13,2.03303166501106
9.682373821373518e-13,2.033031665011913
9.781827272894119e-13,2.033031665013
9.890913636447058e-13,2.033031665014182
1e-12,2.033031665015357
1.001173372120827e-12,2.033031665014912
1.002413382547076e-12,2.033031665014441
1.004214736877257e-12,2.033031665013757
1.007817445537618e-12,2.033031665012389
1.01502286285834e-12,2.033031665009663
1.029433697499783e-12,2.033031665004231
1.058255366782671e-12,2.033031664993454
1.115898705348446e-12,2.03303166497221
1.214864315721622e-12,2.033031664936552
1.226425686626675e-12,2.033031664932452
1.227094525731178e-12,2.033031664932215
1.227650175825829e-12,2.033031664932019
1.228761476015132e-12,2.033031664931626
1.230984076393738e-12,2.03303166493084
1.23542927715095e-12,2.033031664929267
1.244319678665373e-12,2.033031664926128
1.259592873644089e-12,2.033031664920751
1.260459486559994e-12,2.033031664920447
1.261380390029725e-12,2.033031664920123
1.261967220432734e-12,2.033031664919917
1.263140881238753e-12,2.033031664919505
1.265488202850791e-12,2.033031664918681
1.270182846074868e-12,2.033031664917033
1.279572132523021e-12,2.033031664913745
1.296554405671294e-12,2.033031664907813
1.313533353519096e-12,2.033031664901905
1.314164963341876e-12,2.033031664901686
1.315428182987436e-12,2.033031664901246
1.317954622278557e-12,2.033031664900368
1.323007500860798e-12,2.033031664898613
1.333113258025281e-12,2.033031664895109
1.353324772354246e-12,2.033031664888127
1.393747801012176e-12,2.033031664874247
1.474593858328036e-12,2.03303166484679
1.636285972959756e-12,2.03303166479298
1.930224395894718e-12,2.033031664698525
2.397889155226274e-12,2.033031664556327
2.87217232525296e-12,2.033031664421584
3.347692259642144e-12,2.033031664295516
3.83329643166032e-12,2.033031664175631
4.326424440121069e-12,2.033031664062583
4.832368237549558e-12,2.03303166395523
5.354554737149423e-12,2.033031663853094
5.870416236176041e-12,2.033031663760368
6.316528543841715e-12,2.033031663686394
6.850395201896936e-12,2.033031663605003
7.373737278127152e-12,2.033031663532344
7.865777903599299e-12,2.033031663468874
8.432792944350893e-12,2.033031663403063
9.042998709075053e-12,2.03303166333971
9.705097540399107e-12,2.033031663275787
1.04067797160253e-11,2.0330316632187
1.11103216804358e-11,2.033031663170421
1.186797390371377e-11,2.033031663127659
1.267314383930837e-11,2.033031663091775
1.35072557486802e-11,2.033031663063984
1.440044293060329e-11,2.03303166304371
1.534617465793723e-11,2.033031663031673
1.634067004737957e-11,2.033031663026174
1.737673008537116e-11,2.033031663031084
1.845557976809905e-11,2.03303166304402
1.95812838722531e-11,2.033031663064555
2.075750819272871e-11,2.033031663092239
2.198963632363429e-11,2.033031663126624
2.328856900170029e-11,2.033031663167464
2.469378011934015e-11,2.03303166321573
2.649503669319834e-11,2.033031663283377
2.72327056768401e-11,2.033031663300173
2.792936337616067e-11,2.033031663331416
2.871297719444665e-11,2.033031663367395
2.96820814777599e-11,2.033031663411195
3.058769985827243e-11,2.033031663449211
3.146109427111075e-11,2.033031663482075
3.227711221703223e-11,2.033031663509541
3.305647210321916e-11,2.033031663533356
3.386603402586596e-11,2.033031663556121
3.477945582816909e-11,2.033031663579969
3.579548380773815e-11,2.033031663604834
3.693131060322667e-11,2.03303166363123
3.808352753933562e-11,2.033031663657084
3.922549599158728e-11,2.033031663682257
4.061271849538325e-11,2.033031663712758
4.187141161904918e-11,2.033031663740696
4.334299748141568e-11,2.033031663773989
4.504371455940991e-11,2.033031663813566
4.671355392046282e-11,2.033031663853681
4.842103466581379e-11,2.033031663895972
5.018669015994722e-11,2.033031663940921
5.201463435191703e-11,2.033031663988504
5.392328072957347e-11,2.033031664038944
5.592493492143571e-11,2.033031664092185
5.801684813372166e-11,2.033031664147634
6.021171794754068e-11,2.033031664204095
6.154843638633442e-11,2.033031664238092
6.28317807922754e-11,2.033031664270523
6.43153724195034e-11,2.033031664307719
6.558436408238807e-11,2.033031664339302
6.70696671815267e-11,2.033031664376084
6.853666468820343e-11,2.03303166441251
6.9914043428122e-11,2.033031664447292
7.121658068971778e-11,2.033031664480526
7.251863727287563e-11,2.033031664514038
7.399578134149732e-11,2.033031664552428
7.564710414275474e-11,2.033031664594867
7.71650934543801e-11,2.03303166463333
7.843956021830467e-11,2.033031664665614
7.956379387903667e-11,2.033031664694589
8.06041071509456e-11,2.033031664722317
8.159869212349939e-11,2.033031664749548
8.259423997949612e-11,2.033031664778054
8.363369667195912e-11,2.033031664810388
8.474305262004796e-11,2.033031664846452
8.578548116090606e-11,2.033031664882372
8.66899870395068e-11,2.033031664910683
8.762540586731716e-11,2.03303166493681
